store_ID,day_of_week,nb_customers_on_day,open,promotion,state_holiday,school_holiday,month,day,sales
415,6.0,0,0,0,0,0,3.0,1.0,0.0
27,6.0,0,0,0,0,0,12.0,29.0,0.0
404,2.0,657,1,1,0,0,3.0,19.0,6101.34
683,1.0,862,1,0,0,0,1.0,29.0,7793.29
920,2.0,591,1,1,0,0,3.0,19.0,5639.91
758,3.0,569,1,0,0,0,6.0,26.0,4279.3
563,0.0,321,1,1,0,0,2.0,16.0,3750.94
930,5.0,1367,1,0,0,0,11.0,22.0,7584.33
756,3.0,0,0,1,1,0,6.0,4.0,0.0
49,1.0,546,1,1,0,0,1.0,13.0,7560.2
787,3.0,968,1,0,0,1,7.0,23.0,8123.31
782,3.0,472,1,0,0,0,9.0,19.0,4426.02
897,6.0,0,0,0,0,0,4.0,20.0,0.0
933,0.0,965,1,0,0,0,12.0,9.0,8482.88
218,1.0,804,1,0,0,1,4.0,7.0,6367.74
554,2.0,499,1,1,0,1,10.0,9.0,4171.48
362,0.0,1337,1,1,0,1,8.0,12.0,12296.79
655,2.0,560,1,0,0,0,4.0,9.0,5611.73
785,2.0,461,1,0,0,1,12.0,31.0,4353.84
690,2.0,866,1,1,0,0,3.0,19.0,7091.78
1103,6.0,0,0,0,0,0,2.0,15.0,0.0
431,0.0,1367,1,1,0,0,6.0,2.0,14301.41
127,1.0,642,1,1,0,0,9.0,24.0,6527.46
579,4.0,0,0,1,2,1,3.0,29.0,0.0
248,5.0,1139,1,0,0,0,8.0,3.0,8859.62
962,5.0,0,0,0,0,0,1.0,11.0,0.0
224,1.0,515,1,1,0,1,3.0,26.0,6422.87
208,2.0,355,1,1,0,1,6.0,19.0,2837.44
401,0.0,1063,1,1,0,0,3.0,30.0,12168.62
503,6.0,0,0,0,0,0,9.0,29.0,0.0
221,3.0,562,1,1,0,0,3.0,5.0,5847.08
268,6.0,0,0,0,0,0,11.0,2.0,0.0
799,1.0,927,1,1,0,1,8.0,27.0,10116.39
260,5.0,894,1,0,0,0,10.0,25.0,6714.31
1041,1.0,594,1,0,0,0,3.0,10.0,5016.7
350,1.0,533,1,1,0,0,6.0,18.0,7295.48
286,6.0,0,0,0,0,0,4.0,5.0,0.0
620,1.0,709,1,1,0,0,6.0,4.0,8096.72
521,0.0,484,1,1,0,0,6.0,17.0,6479.74
649,3.0,435,1,1,0,0,11.0,27.0,4171.05
1059,1.0,1239,1,1,0,0,6.0,2.0,10381.94
486,5.0,373,1,0,0,0,6.0,28.0,3127.15
252,3.0,642,1,0,0,0,10.0,17.0,7401.38
656,2.0,421,1,1,0,0,5.0,15.0,3677.04
642,4.0,394,1,0,0,0,9.0,12.0,3049.66
655,4.0,761,1,1,0,0,5.0,8.0,9123.48
992,2.0,627,1,0,0,0,6.0,26.0,4980.96
143,1.0,731,1,1,0,0,6.0,2.0,8278.9
421,4.0,941,1,1,0,1,7.0,18.0,8736.58
246,3.0,1157,1,1,0,0,10.0,2.0,9202.52
960,0.0,720,1,1,0,0,4.0,28.0,8243.79
313,4.0,697,1,0,0,0,1.0,17.0,6791.1
291,5.0,534,1,0,0,0,6.0,29.0,5660.38
924,5.0,333,1,0,0,0,5.0,31.0,3284.6
337,1.0,430,1,1,0,1,8.0,13.0,5998.32
1024,3.0,607,1,0,0,0,3.0,12.0,4305.34
56,2.0,402,1,1,0,0,1.0,22.0,5991.47
507,2.0,532,1,0,0,0,4.0,9.0,5940.63
970,4.0,406,1,0,0,0,3.0,15.0,3189.04
846,1.0,828,1,0,0,0,6.0,23.0,7526.58
549,2.0,582,1,0,0,0,8.0,27.0,4832.09
1095,3.0,852,1,1,0,1,3.0,28.0,8835.28
859,4.0,709,1,1,0,0,4.0,12.0,6878.41
914,1.0,1178,1,1,0,1,7.0,29.0,10480.05
888,1.0,634,1,0,0,0,6.0,23.0,5984.5
442,1.0,517,1,1,0,0,11.0,4.0,5893.66
34,5.0,905,1,0,0,0,3.0,9.0,7386.34
199,3.0,581,1,0,0,0,7.0,10.0,6404.21
854,3.0,657,1,1,1,0,6.0,4.0,6704.05
611,1.0,485,1,1,0,0,1.0,21.0,6011.97
808,3.0,528,1,0,0,1,4.0,9.0,5385.69
1105,3.0,410,1,0,0,0,1.0,22.0,3554.72
866,4.0,445,1,0,0,0,4.0,24.0,5894.85
222,5.0,367,1,0,0,0,9.0,28.0,3287.74
476,1.0,753,1,1,0,0,9.0,24.0,6950.45
800,0.0,494,1,0,0,0,5.0,26.0,4596.76
330,0.0,408,1,0,0,0,3.0,24.0,3423.35
